Year,Gender,PE Teacher,Curl-Ups,Push- Ups,Pacer,Mile
2018,M,Piane,80,28,52,8:10
2018,F,Zavala,26,4,32,9.58
2018,,,,,,
2018,F,Zavala,30,30,60,8.31
2018,M,Grotthuss,80,26,63,7:20
2018,M,Grotthuss,80,25,70,7:11
2018,M,Zavala,55,21,76,6.03
2018,F,Taylor,13,9,16,12:15
2018,M,Taylor,80,16,24,10:45
2018,F,Piane,65,27,60,med
2018,M,Zavala,39,30,75,6.05
2018,M,Piane,58,18,37,11:16
2018,,,,,,
2018,M,Zavala,72,10,70,6.05
2018,M,Piane,80,25,59,8:02
2018,F,Taylor,72,10,34,9:30
2018,,,,,,
2018,M,Grotthuss,80,42,50,
2018,,,,,,
2018,,,,,,
2018,,,,,,
2018,,,,,,
2018,M,Piane,80,41,65,9:46
2018,M,Taylor,M,M,M,8:16
2018,M,Taylor,M,M,M,M
2018,M,Taylor,64,20,70,7:40
2018,M,Zavala,27,30,71,6.44
2018,M,Zavaala,80,30,71,6.24
2018,M,Grotthuss,80,42,96,6:29
2018,F,Zavala,35,15,74,6.57
2018,,,,,,
2018,,,,,,
2018,M,Zavala,47,16,75,6.05
2018,M,Taylor,80,33,68,6:50
2018,M,Zavala,60,20,35,9.05
2018,F,Taylor,60,20,35,9:47
2018,,,,,,
2018,F,Zavala,80,50,56,8.08
2018,F,Taylor,30,6,24,10:29
2018,M,Zavala,80,30,72,6.05
2018,F,Taylor,23,16,35,9:32
2018,,,,,,
2018,M,Zavala,80,35,51,8.15
2018,F,Piane,55,20,60,7:20
2018,,,,,,
2018,M,Piane,80,15,104,6:43
2018,F,Grotthuss,55,20,48,7:46
2018,F,Taylor,70,24,40,9:31
2018,M,Zavala,50,10,40,8.13
2018,M,Piane,80,25,24,10:22
2018,F,Zavala,41,9,20,
2018,,,,,,
2018,F,Taylor,60,10,41,9:00
2018,F,Zavala,80,24,55,7.23
2018,,,,,,
2018,F,Grotthuss,28,5,56,7:45
2018,F,Grotthuss,22,20,28,9:32
2018,F,Zavala,50,24,,7.23
2018,M,Grotthuss,80,42,54,7:31
2018,F,Piane,80,17,30,9:26
2018,F,Piane,80,32,106,5:42
2018,M,Grotthuss,80,20,58,7:46
2018,F,Zavala,37,11,17,11.11
2018,M,Piane,Med,Med,Med,Med
2018,F,Zavala,38,16,21,10.57
2018,M,Grotthuss,30,26,65,9:42
2018,M,Taylor,80,30,76,6:45
2018,F,Grotthuss,53,31,45,8:30
2018,F,Taylor,56,20,45,8:45
2018,F,Zavala,21,14,18,11.11
2018,F,Taylor,80,30,50,7:45
2018,M,Grotthuss,80,15,95,6:13
2018,F,Grotthuss,80,31,43,8:20
2018,,,,,,
2018,M,Piane,80,42,100,5:55
2018,F,Piane,80,20,23,10:18
2018,M,Taylor,28,11,26,10:07
2018,F,Zavala,MED,MED,MED,MED
2018,F,Zavala,40,21,50,7.23
2018,F,Zavala,31,21,34,7.36
2018,F,Zavala,40,20,35,9.57
2018,F,Zavala,80,6,26,9.16
2018,F,Piane,80,20,45,8:01
2018,M,Taylor,80,Med,51,8:45
2018,F,Piane,80,31,48,8:03
2018,F,Taylor,80,20,35,10:10
2018,F,Zavala,49,25,25,10.42
2018,M,Piane,80,18,20,12:12
2018,F,Taylor,19,1,17,10:55
2018,M,Grotthuss,54,30,65,7:11
2018,F,Taylor,43,13,42,9:00
2018,F,Zavala,39,21,35,9.57
2018,F,Grotthuss,80,,60,7:12
2018,F,Taylor,25,Med,25,9:13
2018,F,Zavala,50,20,60,8.32
2018,F,Zavala,43,11,38,7.18
2018,F,Grotthuss,80,31,64,7:40
2018,M,Zavala,50,30,60,7.4
2018,M,Grotthuss,80,25,43,9:36
2018,M,zavala,20,4,16,DNF
2018,M,Piane,80,17,42,8:25
2018,M,Piane,80,25,43,7:24
2018,M,Grotthuss,80,26,45,10:12
2018,F,Piane,66,25,30,10:40
2018,F,,,,,
2018,M,Zavala,80,40,100,5.23
2018,F,,,,,
2018,M,Zavala,80,22,41,8.35
2018,M,Piane,64,18,52,7:31
2018,F,,,,,
2018,F,Grotthuss,80,33,81,6:55
2018,F,,,,,
2018,M,Grotthuss,80,21,79,6:33
2018,F,,,,,
2018,M,Zavala,39,21,74,6.33
2018,F,Zavala,40,10,17,8.58
2018,M,Piane,55,18,47,8:42
2018,M,Grotthuss,42,30,62,7:59
2018,M,,,,,
2018,M,Piane,80,20,69,7:05
2018,,,,,,
2018,F,Piane,80,24,53,7:45
2018,F,Grotthuss,80,32,45,8:35
2018,F,Taylor,8,15,31,10:45
2018,M,Piane,79,21,75,6:25
2018,M,Zavala,80,21,92,5.54
2018,F,Zavala,80,21,46,8.31
2018,M,Grotthuss,80,42,65,6:28
