Year,Gender,PE Teacher,Curl-Ups,Push- Ups,Pacer,Mile
2016,M,Ribbens,80,50,106,6:02
2016,F,Ribbens,80,30,,7:45
2016,M,Zavala,22,21,61,8.13
2016,M,Ribbens,31,20,59,
2016,F,,,,,
2016,F,Ribbens,30,14,31,
2016,M,Ribbens,36,14,76,7:40
2016,M,Grotthuss,80,20,54,7:06
2016,M,Piane,80,25,71,7:20
2016,M,Zavala,15,20,65,8.15
2016,F,Ribbens,,,65,7:02
2016,F,Ribbens,80,22,56,7:30
2016,M,Ribbens,64,23,67,7:20
2016,F,Greene,28,24,54,8:04
2016,M,Piane,,,90,9:06
2016,F,Greene,30,1,21,13:07
2016,F,Greene,50,35,70,8:20
2016,,,,,,
2016,M,Piane,80,25,,9:06
2016,F,Greene,45,16,58,8:32
2016,F,Greene,40,24,38,11:08
2016,M,Grotthuss,80,Med.,98,Med.
2016,,,,,,
2016,M,Ribbens,80,47,120,5:50
2016,F,Greene,35,10,23,12:35
2016,F,Ribbens,80,24,,
2016,M,James,58,21,49,7:13
2016,M,,80,15,,6:54
2016,M,Greene,38,41,96,6:06
2016,M,James,40,24,22,9:00
2016,F,Piane,80,,80,8:47
2016,F,Ribbens,50,20,45,10:22
2016,F,Ribbens,46,20,32,
2016,,,,,,
2016,M,Ribbens,40,,42,6:39
2016,F,Ribbens,80,20,45,
2016,F,Ribbens,80,34,65,7:20
2016,M,James,50,30,46,7:40
2016,F,Grotthuss,80,18,44,8:20
2016,F,Greene,38,22,64,8:23
2016,M,Ribbens,80,47,24,5:32
2016,F,Ribbens,,,,
2016,F,Ribbens,80,22,54,7:30
2016,M,Zavala,11,23,61,8.3
2016,M,Ribbens,80,85,32,5:50
2016,F,Ribbens,66,15,65,8:28
2016,F,Ribbens,80,21,80,7:58
2016,M,Piane,,,50,8:12
2016,M,Grotthuss,80,26,60,8:00
2016,M,James,80,25,73,5:58
2016,F,James,70,12,40,9:01
2016,F,Ribbens,38,5,30,10:25
2016,,,,,,
2016,F,Ribbens,22,22,54,
2016,F,James,,,,
2016,M,James,30,14,40,9:18
2016,M,Greene,25,25,35,12:47
2016,M,Zavala,21,--,61,8.15
2016,M,Piane,80,25,68,6:03
2016,M,Grotthuss,55,20,50,9:18
2016,M,James,20,20,20,
2016,M,Zavala,20,15,61,8.08
2016,M,Piane,63,15,75,
2016,M,Zavala,63,21,74,7.08
2016,F,James,64,35,50,7:33
2016,F,Greene,53,10,24,10:58
2016,M,Greene,80,50,124,5:20
2016,F,Ribbens,50,14,18,8:50
2016,F,James,21,10,17,9:46
2016,F,Ribbens,80,13,,10:00
2016,F,Zavala,20,10,34,10.12
2016,F,James,80,10,17,9:46
2016,M,Grotthuss,60,30,68,7:19
2016,M,James,,,,5:56
2016,F,Greene,40,10,29,11:13
2016,F,Ribbens,25,23,42,
2016,M,James,45,20,31,9:08
2016,M,Piane,30,25,45,7:52
2016,F,Greene,80,35,70,6:50
2016,M,Greene,33,30,57,8:20
2016,F,James,20,10,20,8:43
2016,F,Ribbens,35,5,28,10:00
2016,M,Zavala,23,23,61,8.15
2016,F,James,50,30,,
2016,F,Greene,38,23,36,8:57
2016,F,Ribbens,,30,90,7:40
2016,M,Zavala,30,20,61,8.16
2016,F,Greene,80,34,31,9:15
2016,F,,,,,
2016,M,Grotthuss,61,22,52,8:20
2016,M,Moses,36,10,,10:30
2016,M,Piane,38,20,50,7:58
2016,M,Ribbens,80,20,,6:47
2016,M,James,26,15,22,9:03
2016,M,Piane,80,40,60,7:44
2016,F,,,,,
2016,F,Ribbens,67,23,65,7:10
2016,F,James,,,,8:43
2016,F,Ribbens,44,20,70,6:47
2016,M,James,46,17,30,9:04
2016,F,Ribbens,22,30,42,9:10
2016,F,Ribbens,77,16,68,8:15
2016,M,Ribbens,80,20,75,
2016,M,Zavala,26,25,61,DNR
2016,M,Piane,65,19,60,7:44
2016,M,Ribbens,32,31,71,8:07
2016,F,Ribbens,30,20,41,10:02
2016,M,Zavala,40,40,99,5.5
2016,F,,,,,
2016,M,Zavala,35,30,95,6.23
2016,F,James,80,33,66,7:14
2016,F,Ribbens,60,20,35,10:30
2016,F,James,50,25,17,9:47
2016,F,Piane,67,11,50,8:38
2016,M,Greene,51,31,68,8:20
2016,M,Piane,80,20,66,8:42
2016,F,Greene,24,16,31,10:20
2016,F,Greene,29,2,31,9:13
2016,M,Piane,80,35,81,6:22
2016,F,Ribbens,35,20,18,8:40
2016,F,Greene,30,21,20,
2016,F,Greene,30,3,20,13:34
2016,M,Zavala,40,32,61,6.23
2016,M,Greene,80,32,51,7:58
2016,M,Zavala,31,15,47,9.5
2016,,,,,,
2016,M,Piane,80,30,74,6:43
2016,F,Greene,30,1,23,11:27
2017,M,,,,,
2017,M,James,,,,7:10
2017,M,Grotthuss,80,21,64,6:42
2017,F,Greene,35,21,54,9:03
2017,M,Dyra,40,16,80,6:14
2017,F,James,20,10,17,
2017,M,James,,,,8:10
2017,F,,,,,
2017,F,Ribbens,80,25,45,9:02
2017,M,Piane,80,25,,6:06
2017,F,Moses,80,31,,8:13
2017,F,Ribbens,75,31,79,6:57
2017,F,Moses,57,16,,9:00
2017,M,Piane,40,10,50,8:48
2017,M,Greene,57,42,29,8:03
2017,M,Greene,55,42,100,6:40
2017,F,Moses,62,40,,7:33
2017,M,Piane,80,21,50,8:13
2017,F,Ribbens,60,20,,
2017,F,Piane,80,11,45,8:14
2017,F,Greene,30,21,44,8:58
2017,M,Ribbens,73,28,72,7:32
2017,F,Dyra,32,18,44,9:10
2017,M,Grotthuss,80,28,65,7:30
2017,F,Ribbens,80,20,86,7:50
2017,F,Dyra,12,3,16,Rx
2017,F,,,,,
2017,F,Greene,80,33,99,6:03
2017,M,Greene,80,42,100,6:22
2017,F,Piane,80,11,44,8:55
2017,F,Grotthuss,80,21,23,Med.
2017,F,,,,,
2017,F,Greene,80,32,66,7:38
2017,M,Ribbens,,,76,6:49
2017,F,Piane,80,,51,8:14
2017,F,,,,,
2017,F,Piane,80,15,56,8:01
2017,M,Ribbens,80,30,71,6:43
2017,F,,,,,
2017,F,Ribbens,12,30,50,10:00
2017,M,Ribbens,80,31,102,7:00
2017,M,Piane,40,20,42,8:58
2017,M,Grotthuss,55,32,77,8:20
2017,F,,,,,
2017,M,Ribbens,80,18,51,7:53
2017,M,Dyra,24,5,27,10:53
