Year,Gender (M/F),PE Teacher,Curl-Ups,Push- Ups,Pacer,Mile
,,,,,,
,,,,,,
2018,M,ZAVALA,76,5,52,7.32
2018,F,Ribbens,22,12,23,10:50
2017,,,,,,
2018,M,ZAVALA,80,20,53,5.34
2017,M,Piane,75,20,81,7:00
2019,M,Grotthuss,80,27,79,6:18
2018,F,Taylor,40,30,60,8:56
2018,M,Dyra,80,28,70,7:51
2019,F,Grotthuss,,4,23,8:33
2017,F,Ribbens,50,20,58,9:12
2018,M,Magliocco,37,30,70,6:58
2018,M,ZAVALA,80,10,61,6.4
2019,F,Dyra,80,50,67,7:36
2017,M,Moses,66,,,11:50
2019,F,Dyra,80,23,35,10:17
2018,F,Zavala,DNP,DNP,20,11:00
2018,M,Ribbens,80,30,26,
2017,F,Dyra,60,Rx,Rx,Rx
2017,M,Grotthuss,80,32,27,7:50
2019,M,Grotthuss,75,42,83,6:32
2018,F,Greene,80,18,40,
2019,M,K. Miller,80,30,95,6:30
2017,F,Dyra,40,16,26,8:33
2018,M,Magliocco,42,28,83,6:23
2018,M,Dyra,60,28,33,8:46
2019,M,Dyra,80,15,35,8:53
2018,M,Moses,80,20,73,6:20
2017,F,Ribbens,60,25,41,8:30
2017,M,Grotthuss,80,45,65,7:50
2018,M,Dyra,36,11,51,6:41
2019,M,Grotthuss,23,9,,13.19
2017,F,Piane,80,28,81,8:26
2019,F,Miller,80,23,12,10:20
2019,M,Taylor,80,40,97,6:44
2019,M,Grotthuss,60,50,75,6:35
2018,M,Dyra,80,43,60,7:32
2018,F,ZAVALA,60,18,30,9.14
2017,F,Greene,80,33,52,8:35
2019,F,Taylor,80,30,69,7:18
2019,M,K. Miller,31,0,49,8:42
2017,F,Taylor,40,8,38,11:07
2019,M,Grotthuss,44,34,60,7:05
2017,M,Piane,50,30,81,8:30
2017,M,Moses,80,7,32,10:30
2017,M,Moses,80,35,100,7:25
2019,M,K. Miller,80,20,49,9:33
2019,M,Grotthuss,57,17,70,6:53
2018,F,Greene,44,13,35,9:40
2017,F,Taylor,50,38,70,8:02
2018,M,Grotthuss,80,45,16,7:39
2017,M,Grotthuss,80,44,71,7:45
2019,F,miller,25,12,12,10:24
2019,F,Grotthuss,80,20,42,8:34
2019,M,m,80,10,77,6:24
2019,M,Grotthuss,40,19,64,6:53
2017,F,janda,,,,9:49
2016,M,Piane,80,,,7:00
2017,F,Greene,40,21,40,
2017,F,ZAVALA,10,15,26,11.07
2018,M,ZAVALA,80,30,,6.4
2019,M,Dyra,80,15,90,6:24
2018,F,ZAVALA,80,30,56,6.58
2017,M,Magliocco,40,30,60,8:15
2019,M,Dyra,46,17,33,9:05
2018,F,Greene,80,15,43,8:51
2018,M,Grotthuss,80,42,72,7:52
2019,M,Taylor,31,22,23,10:25
2019,M,Grotthuss,80,26,61,7:42
2018,M,Greene,40,30,43,8:10
2019,F,K Miller,80,15,25,10:22
2019,F,K Miller,30,11,36,10:45
2018,,,,,,
2019,F,Grotthuss,80,20,24,9:20
2018,M,ZAVALA,80,10,32,7.17
2018,M,Grotthuss,80,39,60,7:50
2018,M,ZAVALA,80,30,71,6.12
2019,F,Grotthuss,80,20,36,7:45
